무늬산호수,18575,Ardisia pusilla 'Variegata',"Japanese Ardisia, Marlberry, Variegated Japanese Ardisia"
무늬석창포,18576,Acorus gramineus var. variegatus,"Grassleaf Sweet Flag, Variegated Sweet Flag"
무늬쉐플레라'홍콩',18593,Schefflera arboricola 'Hong Kong Variegata',"Umbrella tree, Umbrella Plant"
무늬알피니아,18596,Alpinia zerumbet 'Variegata',"variegated shell-flower, variegated ginger"
무늬유카,18597,Yucca elephantipes 'Variegata',"Spineless yucca, Giant yucca"
무늬접란,18599,Chlorophytum comosum var. variegatum,spider plant
무늬털머위,18600,Farfugium japonicum 'Argenteum',leopard plant
무늬팻츠헤데라,18602,Fatshedera lizei 'Variegata',variegated tree ivy
무늬푸밀라고무나무,18604,Ficus pumila 'Variegata',variegated creeping fig
뮤렌베키아,18649,Muehlenbeckia complexa,"maidenhair vine, creeping wire vine, lacy wire vine, mattress vine"
바위취,18656,Saxifraga stolonifera,"strawberry saxifrage, magic carpet, mother of thousands"
박쥐란,18659,Platycerium bifurcatum,"common staghorn fern, elkhorns"
반딧불털머위,18692,Farfugium japonicum,Japanese silver leaf
백량금,18694,Ardisia crenata,"spear flower, coral berry, spice berry, Hen's eyes"
백정화,14915,Serissa foetida,japanese serissa
백화등,14916,Trachelospermum asiaticum var. majus,trachelospermum
벤자민고무나무,14919,Ficus benjamina,Weeping Fig
벤자민고무나무 '킹',15828,Ficus benjamina 'King',Benjamin's Fig
벵갈고무나무,15831,Ficus benghalensis,"banyan tree, east Indian fig tree"
병솔나무,15835,Callistemon spp.,bottlebrush
보스톤고사리,16037,Nephrolepis exaltata 'Bostoniensis',Boston fern
봉의꼬리,16138,Pteris multifida,"spidar fern, spidar brake, chinese brake"
부겐빌레아,18613,Bougainvillea glabra,"paper flower, Bougainvillea"
브룬펠시아,18652,Brunfelsia australis Bench,yesterday today and tomorrow
브리세아,18655,Vriesea,flaming sword
비젯티접란,18695,Chlorophytum bichetii,"St. Bernard lily, spider plant"
비타툼접란,18697,Chlorophytum comosum var. vittatum,"ribbon plant, spider plant, walking anthericum"
산세베리아,19448,Sansevieria trifasciata,"mother in law's tongue, snake plant"
산세베리아 '골든 하니',19449,Sansevieria trifasciata ‘Golden Hahnii’,golden bird’s nest
산호수,19451,Ardisia pusilla,Small coralberry
삼색데코라고무나무,19452,Decora elastica 'Decora Tricolor',rubber tree
상록넉줄고사리 '후마타',19453,Humata tyermannii (Davallia griffithiana),"squirrel's (bear's, white rabbit's) foot fern"
새우란,19455,Calanthe discolor spp.,Calanthe
석창포,19457,Acorus gramineus,"Japanese sweet flag, Dwarf sedge, Japanese rush"
세네시오 라디칸스,19460,Senecio radicans,"String of pearls, Necklace plant"
세이프릿지 야자,19663,Chamaedorea seifrizii Burret,reed palm
셀라기넬라,19696,Selaginella,"blue-green peacock fern, spike moss"
소철,19701,Cycas revoluta,"cycad, sago cycas, sago palm, Japanese fern palm, Japanese sago palm"
소피아 고무나무,19703,Ficus elastica 'Sofia',Ficus sofia
솔레이롤리아,19704,Soleirolia soleirolii,"Mind your own business, baby's tears, irish moss"
수박페페로미아,19706,Peperomia sandersii,"watermelon peperomia, watermelon begonia"
수박필레아,19709,Pilea cadierei,Aluminum plant
수염 틸란드시아,19711,Tillandsia usneoides,spanish moss
숙근이베리스,19713,Iberis sempervirens,"Evergreen candytuft, Perennial candytuft"
쉐플레라 '홍콩',19715,Schefflera arboricola,"queensland umbrella tree, octopus tree, dwarf umbrella tree, parasol plant, star leaf"
스킨답서스,19716,Epipremnum aureum,"scindapsus, devils ivy, goden pothos, hunter’s robe"
스파티필룸,19717,Spathiphyllum wallisii,"spath, peace lilies"
스파티필룸 (광엽),19718,Spathiphyllum 'Clevelandii',"spath, peace lilies"
시서스,19719,Cissus antarctica,"Grape ivy, Venezuela tree bine"
시클라멘,19707,Cyclamen persicum,Cyclamen
심비디움,19712,Cymbidium spp.,"Cymbidium Orchid, boat orchids"
싱고니움,19714,Syngonium podophyllum,Goose foot
아글라오네마,19469,Aglaonema commutatum,"spotted evergreen, silver evergreen"
아데니움,19468,Adenium obesum,"desert rose, adenium, impala lily"
아디안텀,19467,Adiantum raddianum,Delta maidenhair fern
아라우카리아,19466,Araucaria heterophylla,Norfolk island pine
아레카야자,19465,Chrysalidocarpus lutescens,"areca palm, butterfly palm, golden feather palm"
아마릴리스,19470,Hippeastrum hybridum,amaryllis
아스파라거스 풀루모수스,19464,Asparagus pulmosus var. nanus,"Asparagus fern, smilax"
아스플레니움,19463,Asplenium nidus,"bird's nest fern, hawaii bird's nest sleenwort"
아왜나무,19462,Viburnum odoratissimum var. awabuki,Awabuki Sweet Viburnum
아이비,19461,Hedera helix,"english ivy, baltic ivy"
아펠란드라,19459,Aphelandra squarrosa,"zebra plant, saffron spike"
아프리칸 바이올렛,18691,Saintpaulia spp.,african violet
안수리움,18660,Anthurium andraeanum,"common anthurium, flamingo flower, oilcloth flower, painters palette"
알로카시아 아마조니카,18658,Alocasia amazonica,elephant's ear
알로카시아 쿠쿨라타,19471,Alocasia cucullata,"Chinese taro, Chinese ape"
얼룩자주달개비,18657,Zebrina pendula,"silvery wandering jew, zebrina inch plant"
에메랄드리플 페페로미아,18654,Peperomia caperata,Emerald Ripple Peperomia
에크메아 파시아타,18601,Aechmea fasciata,"urn plant, silver vase"
엘라티올 베고니아,18598,Begonia X hiemalis,"Reiger Begonia, Elatior Begonia"
여우꼬리풀,18595,Acalypha reptans,Red-hot cat's tail
엽란,18591,Aspidistra elatior,"iron plant, cast iron plant"
옥살리스(사랑초),19474,Oxalis triangularis,red leaf oxalis
온시디움,18589,Oncidium spp.,"Dancing ladies, Dancing dolls, Dancing- lady orchid, Dancing-doll orchid, Butterfly orchid"
왜란,18588,Ophiopogon japonicus,"Mondo grass, Fountain plant, monkey grass"
왜성종려죽,18587,Rhapis multifida,"Jade Empress, Finger Palm"
움벨라타 고무나무,18585,Ficus umbellata,Ficus umbellata
유카,18582,Yucca,"mound lily, candle yucca"
은사철나무,18581,Euonymus japonica 'Albomarginata',silver-queen
익소라,18578,Ixora chinensis,"broken pot, prince of orange"
인삼벤자민,17748,Ficus microcarpa 'Ginseng',Ginseng ficus
자금우,17741,Ardisia japonica,marlberry
자란,17393,Bletilla striata,Chinese ground orchid
자주색만년초,16450,Rhoeo discolor,"Oyster plant , Moses-in-the-cradle"
접란,16447,Chlorophytum comosum,"ribbon plant, spider plant, spider ivy"
제라니움,16248,Pelargonium hortorum,"geranium, fish geranium"
좀마삭줄,16242,Trachelospermum 'Atsuba Chirimen',Asia Minor Asiatic Jasmine
종려방동사니,16036,Cyperus alternifolius,Umbrella Plant
종려죽,16035,Rhapis humilis,"low ground rattan, slender lady palm"
죽백나무,16033,Podocarous nagi,"nagi podocarpus, broadleaf podocarpus"
줄리아 페페로미아,15834,Peperomia puteolata,Parallel Peperomia
참쇠고비(섬쇠고비),12991,Cyrtomium caryotideum var. koreanum,Fish-tail Holly Fern
치자나무,12989,Gardenia jasminoides,"common gardenia, cape jasmine or cape jessamine"
칼라데아 마코야나,15829,Calathea makoyana,"brain plant, peacock plant"
칼라데아 인시그니스,14918,Calathea insignis,rattle snake plant
칼라데아 크로카타,14917,Calathea crocata,gold star
칼라디움,14914,Caladium bicolor (hortulantum) Vent.,"angel's wing, elephant's ears"
칼랑코에,13319,Kalanchoe blossfeldiana,"kalanchoe, flaming katy"
커피나무,13317,Coffea arabica,Coffee
켄챠야자,13318,Howea forsteriana,"belmore palm, curly palm, kentia palm, paradise palm, thatch leaf palm"
코르딜리네 레드에지,13309,Cordyline terminalis 'Rededge',red good luck plant
크로톤,13260,Codiaeum variegatum,"garden croton, variegated croton"
크로톤,13261,Codiaeum variegatum var. pictum,Joseph's coat
크립탄서스,13257,Cryptanthus spp.,"earth stars, starfish plant"
클레마티스,13255,Clematis florida,clematis
털달개비,12996,Tradescantia sillamontana,"White Velvet, White Gossamer"
털머위,13001,Farfugium japonicum,leopard plant
테이블야자,13002,Chamaedorea elegans,"parlour palm, good luck palm, neanthe bella"
톨미아,13003,Tolmiea menziesii,"piggyback plant, youth an age, mother of thousands"
틸란드시아,13004,Tillandsia cyanea,"blue-flowered torch, pink quill"
